Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
cold_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;TØ,5-6h,1-2km;0;;13.1585855484009;;72.3855285644531;
cold_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;TØ,6-7h,1-2km;0;;15.5510578155518;;85.5012741088867;
cold_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;TØ,7-8h,1-2km;0;;17.9435234069824;;98.6170501708984;
cold_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;TØ,8-9h,1-2km;0;;20.3359966278076;;111.732803344727;
cold_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;TØ,9-10h,1-2km;0;;22.7284698486328;;124.848587036133;
cold_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;TØ,10-11h,1-2km;0;;25.1209411621094;;137.96435546875;
cold_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;TØ,11-12h,1-2km;0;;27.5134086608887;;151.080093383789;
cold_avr_WTT[4.2.2];urban bus;2020;REF D HB42;CO2e;Urban;TØ,>12h,1-2km;0;;28.7211284637451;;157.700897216797;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,0-1h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,1-2h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,2-3h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,3-4h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,4-5h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,5-6h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,6-7h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,7-8h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,8-9h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,9-10h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,10-11h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,11-12h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,>12h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,0-1h,1-2km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,1-2h,1-2km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,2-3h,1-2km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,3-4h,1-2km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,4-5h,1-2km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,5-6h,1-2km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,6-7h,1-2km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,7-8h,1-2km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,8-9h,1-2km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,9-10h,1-2km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,10-11h,1-2km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,11-12h,1-2km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;FC_MJ;Urban;TØ,>12h,1-2km;0;;;;;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,0-1h,0-1km;0;;0.924080193042755;;5.13491296768188;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,1-2h,0-1km;0;;1.63497221469879;;9.12797546386719;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,2-3h,0-1km;0;;2.42317366600037;;13.4879846572876;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,3-4h,0-1km;0;;3.30783247947693;;18.3644390106201;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,4-5h,0-1km;0;;4.20186281204224;;23.2840423583984;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,5-6h,0-1km;0;;5.13560819625854;;28.4131755828857;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,6-7h,0-1km;0;;6.06935501098633;;33.5423126220703;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,7-8h,0-1km;0;;7.00310039520264;;38.671443939209;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,8-9h,0-1km;0;;7.93684911727905;;43.8005790710449;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,9-10h,0-1km;0;;8.87059593200684;;48.9297103881836;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,10-11h,0-1km;0;;9.80434322357178;;54.0588417053223;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,11-12h,0-1km;0;;10.738091468811;;59.1879768371582;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,>12h,0-1km;0;;11.2094459533691;;61.7771072387695;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,0-1h,1-2km;0;;1.74710130691528;;9.64391613006592;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,1-2h,1-2km;0;;4.04876852035522;;22.3726272583008;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,2-3h,1-2km;0;;6.16287231445313;;34.0020217895508;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,3-4h,1-2km;0;;8.45541954040527;;46.59130859375;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,4-5h,1-2km;0;;10.7661180496216;;59.269775390625;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,5-6h,1-2km;0;;13.1585855484009;;72.3855285644531;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,6-7h,1-2km;0;;15.5510578155518;;85.5012741088867;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,7-8h,1-2km;0;;17.9435234069824;;98.6170501708984;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,8-9h,1-2km;0;;20.3359966278076;;111.732803344727;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,9-10h,1-2km;0;;22.7284698486328;;124.848587036133;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,10-11h,1-2km;0;;25.1209411621094;;137.96435546875;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,11-12h,1-2km;0;;27.5134086608887;;151.080093383789;
cold_avr_WTT[4.2.2];motorcycle;2020;REF D HB42;CO2e;Urban;TØ,>12h,1-2km;0;;28.7211284637451;;157.700897216797;
